The Pragmatic Programmer: From Journeyman to Master;Andy Hunt;https://www.goodreads.com/book/show/4099.The_Pragmatic_Programmer
The C Programming Language;Brian W. Kernighan;https://www.goodreads.com/book/show/515601.The_C_Programming_Language
Clean Code: A Handbook of Agile Software Craftsmanship;Robert C. Martin;https://www.goodreads.com/book/show/3735293-clean-code
Design Patterns: Elements of Reusable Object-Oriented Software;Erich Gamma;https://www.goodreads.com/book/show/85009.Design_Patterns
Code Complete;Steve McConnell;https://www.goodreads.com/book/show/4845.Code_Complete
Structure and Interpretation of Computer Programs;Harold Abelson;https://www.goodreads.com/book/show/43713.Structure_and_Interpretation_of_Computer_Programs
Introduction to Algorithms;Thomas H. Cormen;https://www.goodreads.com/book/show/108986.Introduction_to_Algorithms
Refactoring: Improving the Design of Existing Code;Martin Fowler;https://www.goodreads.com/book/show/44936.Refactoring
The Mythical Man-Month: Essays on Software Engineering;Frederick P. Brooks Jr.;https://www.goodreads.com/book/show/13629.The_Mythical_Man_Month
The Art of Computer Programming, Volumes 1-3 Boxed Set;Donald Ervin Knuth;https://www.goodreads.com/book/show/112239.The_Art_of_Computer_Programming_Volumes_1_3_Boxed_Set
Head First Design Patterns;Eric Freeman;https://www.goodreads.com/book/show/58128.Head_First_Design_Patterns
The Clean Coder: A Code of Conduct for Professional Programmers;Robert C. Martin;https://www.goodreads.com/book/show/10284614-the-clean-coder
The C++ Programming Language;Bjarne Stroustrup;https://www.goodreads.com/book/show/112251.The_C_Programming_Language
JavaScript: The Good Parts;Douglas Crockford;https://www.goodreads.com/book/show/2998152-javascript
Working Effectively with Legacy Code;Michael C. Feathers;https://www.goodreads.com/book/show/44919.Working_Effectively_with_Legacy_Code
Compilers: Principles, Techniques, and Tools;Alfred V. Aho;https://www.goodreads.com/book/show/703102.Compilers
The Little Schemer;Daniel P. Friedman;https://www.goodreads.com/book/show/548914.The_Little_Schemer
Modern Operating Systems;Andrew S. Tanenbaum;https://www.goodreads.com/book/show/166195.Modern_Operating_Systems
Test-Driven Development: By Example;Kent Beck;https://www.goodreads.com/book/show/387190.Test_Driven_Development
The UNIX Programming Environment;Brian W. Kernighan;https://www.goodreads.com/book/show/337338.The_UNIX_Programming_Environment
